image,weather,time_of_day,road_type,speed,severity
00126.jpg,clear,dusk,highway,79,severe
00127.jpg,clear,dusk,urban,67,minor
00128.jpg,clear,day,highway,36,minor
00129.jpg,snowy,day,rural,118,severe
00130.jpg,rainy,dusk,urban,74,minor
00131.jpg,clear,dusk,rural,42,minor
00132.jpg,rainy,dawn,rural,46,severe
00133.jpg,rainy,day,highway,119,severe
00134.jpg,rainy,dawn,highway,88,minor
00135.jpg,cloudy,dawn,urban,57,minor
00136.jpg,rainy,dawn,highway,29,moderate
00137.jpg,clear,dawn,highway,22,severe
00138.jpg,clear,dawn,highway,70,moderate
00139.jpg,cloudy,night,urban,61,moderate
00140.jpg,rainy,day,rural,33,severe
00141.jpg,rainy,dawn,rural,20,moderate
00142.jpg,clear,night,highway,117,minor
00143.jpg,clear,dawn,rural,109,severe
00144.jpg,clear,night,rural,103,severe
00145.jpg,snowy,dawn,highway,25,moderate
00146.jpg,snowy,dusk,urban,29,severe
00147.jpg,clear,night,rural,42,moderate
00148.jpg,clear,dusk,urban,30,minor
00149.jpg,rainy,dawn,rural,110,severe
00150.jpg,snowy,day,urban,41,moderate
00151.jpg,snowy,night,highway,52,severe
00152.jpg,cloudy,dusk,rural,61,moderate
00153.jpg,cloudy,day,highway,59,severe
00154.jpg,cloudy,dawn,urban,26,minor
00155.jpg,snowy,dawn,urban,35,minor
00156.jpg,rainy,dawn,urban,38,minor
00157.jpg,rainy,dawn,highway,43,moderate
00158.jpg,snowy,dusk,highway,99,minor
00159.jpg,rainy,night,rural,69,severe
00160.jpg,snowy,dawn,urban,82,minor
00161.jpg,snowy,night,highway,95,severe
00162.jpg,clear,day,urban,44,minor
00163.jpg,snowy,dawn,rural,114,minor
00164.jpg,cloudy,dawn,urban,55,severe
00165.jpg,snowy,night,urban,118,moderate
00166.jpg,clear,dawn,rural,22,moderate
00167.jpg,cloudy,day,rural,86,minor
00168.jpg,rainy,day,highway,53,moderate
00169.jpg,cloudy,night,rural,59,moderate
00170.jpg,snowy,dusk,rural,109,minor
00171.jpg,clear,dawn,urban,80,minor
00172.jpg,snowy,night,highway,48,minor
00173.jpg,cloudy,day,rural,118,moderate
00174.jpg,snowy,dusk,rural,56,severe
00175.jpg,clear,dawn,rural,87,minor
00176.jpg,clear,night,rural,80,severe
00177.jpg,rainy,dusk,highway,45,severe
00178.jpg,rainy,dawn,highway,60,minor
00179.jpg,cloudy,dawn,urban,40,moderate
00180.jpg,clear,night,highway,100,minor
00181.jpg,cloudy,night,urban,120,minor
00182.jpg,cloudy,dusk,urban,107,severe
00183.jpg,snowy,day,urban,109,minor
00184.jpg,clear,night,urban,119,severe
00185.jpg,rainy,night,highway,92,minor
00186.jpg,rainy,dawn,highway,39,minor
00187.jpg,rainy,dawn,rural,54,severe
00188.jpg,rainy,dawn,highway,110,severe
00189.jpg,clear,day,highway,46,minor
00190.jpg,snowy,dusk,highway,29,moderate
00191.jpg,clear,night,rural,120,moderate
00192.jpg,clear,night,urban,46,minor
00193.jpg,snowy,dusk,urban,44,minor
00194.jpg,clear,dusk,rural,83,minor
00195.jpg,cloudy,night,urban,116,minor
00196.jpg,snowy,day,urban,65,severe
00197.jpg,clear,dusk,highway,45,moderate
00198.jpg,rainy,dusk,rural,120,moderate
00199.jpg,cloudy,night,rural,104,severe
00200.jpg,clear,night,rural,52,severe
00201.jpg,clear,dawn,rural,47,minor
00202.jpg,rainy,dawn,rural,43,minor
00203.jpg,rainy,night,rural,65,minor
00204.jpg,cloudy,day,rural,77,minor
00205.jpg,clear,dusk,highway,53,severe
00206.jpg,snowy,dawn,urban,91,severe
00207.jpg,rainy,night,rural,66,minor
00208.jpg,snowy,dusk,highway,101,severe
00209.jpg,clear,night,urban,40,severe
00210.jpg,cloudy,day,urban,53,minor
00211.jpg,clear,day,rural,23,minor
00212.jpg,clear,dusk,highway,67,moderate
00213.jpg,snowy,dusk,highway,64,minor
00214.jpg,snowy,dusk,rural,49,severe
00215.jpg,cloudy,dawn,rural,43,severe
00216.jpg,snowy,dusk,rural,102,minor
00217.jpg,snowy,dawn,rural,109,moderate
00218.jpg,cloudy,night,urban,76,severe
00219.jpg,cloudy,night,highway,50,moderate
00220.jpg,cloudy,night,rural,52,minor
00221.jpg,cloudy,dawn,rural,95,minor
00222.jpg,clear,night,highway,59,severe
00223.jpg,snowy,night,urban,73,minor
00224.jpg,cloudy,dusk,rural,50,moderate
00225.jpg,rainy,day,urban,81,moderate
00226.jpg,clear,night,urban,67,minor
00227.jpg,cloudy,day,urban,84,severe
00228.jpg,rainy,day,highway,67,moderate
00229.jpg,cloudy,day,urban,33,moderate
00230.jpg,rainy,day,rural,85,moderate
00231.jpg,clear,dusk,urban,120,minor
00232.jpg,snowy,night,urban,114,moderate
00233.jpg,snowy,dusk,urban,68,minor
00234.jpg,rainy,dusk,highway,73,moderate
00235.jpg,snowy,dawn,highway,117,minor
00236.jpg,snowy,day,urban,61,minor
00237.jpg,snowy,dusk,rural,87,moderate
00238.jpg,snowy,dusk,highway,58,moderate
00239.jpg,snowy,dawn,highway,92,moderate
00240.jpg,rainy,day,rural,88,minor
00241.jpg,clear,dusk,rural,78,severe
00242.jpg,clear,day,urban,116,severe
00243.jpg,rainy,day,highway,38,severe
00244.jpg,cloudy,dusk,rural,37,minor
00245.jpg,clear,dawn,rural,53,moderate
00246.jpg,cloudy,day,highway,117,severe
00247.jpg,cloudy,dawn,rural,25,severe
00248.jpg,clear,dawn,highway,65,minor
00249.jpg,snowy,dawn,highway,32,moderate
00250.jpg,rainy,dawn,urban,47,moderate
00251.jpg,snowy,dusk,highway,52,severe
00252.jpg,rainy,day,urban,88,severe
00253.jpg,snowy,night,rural,40,moderate
00254.jpg,cloudy,dawn,highway,53,minor
00255.jpg,snowy,day,rural,48,severe
00256.jpg,snowy,dawn,highway,79,severe
00257.jpg,rainy,night,rural,32,minor
00258.jpg,clear,dawn,highway,114,moderate
00259.jpg,cloudy,day,highway,77,moderate
00260.jpg,cloudy,dusk,urban,86,severe
00261.jpg,cloudy,night,highway,36,minor
00262.jpg,snowy,dawn,highway,91,moderate
00263.jpg,rainy,night,highway,109,minor
00264.jpg,rainy,dusk,urban,89,moderate
00265.jpg,clear,night,urban,93,severe
00266.jpg,snowy,night,rural,24,severe
00267.jpg,snowy,day,rural,113,moderate
00268.jpg,rainy,dawn,urban,115,severe
00269.jpg,snowy,night,highway,108,severe
00270.jpg,cloudy,night,rural,77,severe
00271.jpg,rainy,dusk,urban,111,minor
00272.jpg,clear,night,rural,56,moderate
00273.jpg,cloudy,dawn,rural,105,moderate
00274.jpg,cloudy,dawn,urban,38,severe
00275.jpg,clear,day,highway,93,moderate
00276.jpg,snowy,day,urban,88,minor
00277.jpg,clear,night,highway,43,moderate
00278.jpg,snowy,dawn,urban,88,moderate
00279.jpg,rainy,dusk,highway,34,minor
00280.jpg,clear,dawn,urban,75,minor
00281.jpg,cloudy,night,highway,104,moderate
00282.jpg,rainy,night,urban,22,moderate
00283.jpg,snowy,dawn,urban,107,moderate
00284.jpg,clear,dawn,rural,89,minor
00285.jpg,cloudy,night,rural,48,severe
00286.jpg,snowy,dusk,highway,50,moderate
00287.jpg,snowy,dusk,highway,54,minor
00288.jpg,snowy,dusk,rural,74,moderate
00289.jpg,snowy,dusk,rural,103,moderate
00290.jpg,cloudy,day,rural,81,severe
00291.jpg,snowy,dusk,rural,38,minor
00292.jpg,rainy,night,highway,52,moderate
00293.jpg,rainy,night,urban,80,minor
00294.jpg,snowy,dawn,highway,37,moderate
00295.jpg,cloudy,night,highway,49,minor
00296.jpg,clear,dusk,urban,120,moderate
00297.jpg,clear,day,highway,103,severe
00298.jpg,snowy,day,rural,65,severe
00299.jpg,clear,dusk,rural,59,severe
00300.jpg,clear,night,urban,66,severe
00301.jpg,rainy,dusk,urban,104,severe
00302.jpg,rainy,day,rural,21,severe
00303.jpg,cloudy,dusk,rural,54,severe
00304.jpg,clear,night,highway,93,minor
00305.jpg,snowy,dawn,rural,89,minor
00306.jpg,cloudy,night,urban,77,severe
00307.jpg,rainy,dawn,highway,109,minor
00308.jpg,cloudy,dusk,rural,90,moderate
00309.jpg,clear,dawn,urban,54,moderate
00310.jpg,snowy,night,urban,69,moderate
00311.jpg,cloudy,dusk,rural,61,minor
00312.jpg,snowy,dusk,highway,82,minor
00313.jpg,cloudy,night,rural,113,severe
00314.jpg,clear,dawn,highway,114,severe
00315.jpg,snowy,night,highway,90,severe
00316.jpg,snowy,dawn,urban,57,severe
00317.jpg,clear,night,highway,39,severe
00318.jpg,cloudy,dawn,urban,112,severe
00319.jpg,clear,dawn,rural,23,minor
00320.jpg,cloudy,dusk,highway,77,severe
00321.jpg,cloudy,night,urban,34,minor
00322.jpg,cloudy,dawn,highway,33,minor
00323.jpg,cloudy,dawn,urban,116,severe
00324.jpg,clear,day,urban,73,severe
00325.jpg,snowy,night,urban,40,minor
00326.jpg,snowy,day,rural,92,severe
00327.jpg,snowy,dusk,urban,76,moderate
00328.jpg,snowy,night,highway,79,severe
00329.jpg,cloudy,dawn,urban,104,severe
00330.jpg,rainy,dawn,highway,106,moderate
00331.jpg,cloudy,day,urban,83,severe
00332.jpg,clear,dusk,rural,20,minor
00333.jpg,rainy,day,urban,32,severe
00334.jpg,cloudy,dawn,urban,82,minor
00335.jpg,clear,dusk,rural,52,minor
00336.jpg,clear,dusk,highway,43,severe
00337.jpg,cloudy,dawn,urban,109,severe
00338.jpg,clear,day,highway,113,minor
00339.jpg,rainy,dawn,urban,51,severe
00340.jpg,cloudy,day,rural,69,minor
00341.jpg,rainy,dawn,highway,21,minor
00342.jpg,clear,night,rural,36,severe
00343.jpg,clear,dawn,highway,108,severe
00344.jpg,rainy,dusk,highway,73,minor
00345.jpg,snowy,dusk,urban,114,moderate
00346.jpg,cloudy,day,highway,56,minor
00347.jpg,clear,day,highway,75,minor
00348.jpg,cloudy,night,highway,54,moderate
00349.jpg,rainy,night,highway,28,minor
00350.jpg,clear,night,urban,33,moderate
00351.jpg,snowy,dawn,rural,119,moderate
00352.jpg,snowy,night,rural,73,minor
00353.jpg,cloudy,dusk,rural,78,minor
00354.jpg,rainy,night,urban,71,severe
00355.jpg,snowy,night,highway,111,minor
00356.jpg,snowy,night,highway,79,minor
00357.jpg,snowy,dusk,rural,97,minor
00358.jpg,clear,night,rural,58,moderate
00359.jpg,cloudy,day,urban,29,minor
00360.jpg,clear,night,urban,96,severe
00361.jpg,snowy,dawn,rural,90,moderate
00362.jpg,clear,dawn,highway,55,minor
00363.jpg,clear,dusk,rural,119,moderate
00364.jpg,cloudy,night,rural,53,minor
00365.jpg,rainy,dawn,urban,22,severe
00366.jpg,cloudy,dusk,highway,88,severe
00367.jpg,cloudy,dusk,rural,75,severe
00368.jpg,clear,night,highway,91,moderate
00369.jpg,snowy,dusk,highway,26,minor
00370.jpg,cloudy,night,rural,80,moderate
00371.jpg,cloudy,night,highway,109,minor
00372.jpg,rainy,night,rural,72,severe
00373.jpg,cloudy,day,highway,67,severe
00374.jpg,clear,night,urban,26,severe
00375.jpg,clear,dawn,urban,97,moderate
00376.jpg,snowy,dawn,rural,84,minor
00377.jpg,clear,dawn,urban,107,minor
00378.jpg,snowy,dusk,rural,109,severe
00379.jpg,cloudy,dusk,rural,45,minor
00380.jpg,cloudy,day,rural,101,minor
00381.jpg,cloudy,night,rural,77,minor
00382.jpg,cloudy,dawn,highway,107,minor
00383.jpg,cloudy,dusk,highway,86,severe
00384.jpg,rainy,dusk,highway,41,minor
00385.jpg,clear,night,urban,80,moderate
00386.jpg,cloudy,dawn,highway,24,severe
00387.jpg,clear,dusk,urban,85,severe
00388.jpg,cloudy,night,rural,120,moderate
00389.jpg,cloudy,dawn,highway,109,moderate
00390.jpg,clear,dusk,highway,60,minor
00391.jpg,snowy,dawn,rural,42,moderate
00392.jpg,snowy,day,urban,82,minor
00393.jpg,cloudy,day,urban,83,moderate
00394.jpg,clear,dawn,urban,45,severe
00395.jpg,clear,night,rural,118,severe
00396.jpg,rainy,dusk,urban,70,severe
00397.jpg,rainy,dawn,urban,103,moderate
00398.jpg,clear,night,highway,117,moderate
00399.jpg,rainy,night,urban,40,severe
00400.jpg,snowy,day,rural,37,severe
00401.jpg,rainy,day,rural,107,moderate
00402.jpg,snowy,day,urban,23,severe
00403.jpg,cloudy,dawn,highway,118,minor
00404.jpg,clear,dawn,highway,93,minor
00405.jpg,rainy,day,urban,25,severe
00406.jpg,clear,day,urban,61,severe
00407.jpg,snowy,dawn,rural,115,minor
00408.jpg,snowy,day,rural,111,severe
00409.jpg,clear,dawn,highway,52,severe
00410.jpg,rainy,dusk,rural,33,severe
00411.jpg,snowy,night,urban,42,minor
00412.jpg,rainy,night,urban,32,minor
00413.jpg,snowy,dusk,rural,26,moderate
00414.jpg,rainy,day,urban,104,severe
00415.jpg,snowy,dusk,highway,67,severe
00416.jpg,cloudy,dawn,highway,80,moderate
00417.jpg,cloudy,day,urban,41,moderate
00418.jpg,clear,day,highway,87,severe
00419.jpg,clear,dusk,highway,107,minor
00420.jpg,snowy,night,urban,75,severe
00421.jpg,clear,dawn,highway,72,minor
00422.jpg,snowy,dusk,urban,53,minor
00423.jpg,cloudy,dusk,rural,113,minor
00424.jpg,rainy,day,highway,25,moderate
00425.jpg,clear,dusk,rural,23,minor
00426.jpg,snowy,day,rural,96,severe
00427.jpg,clear,dawn,urban,60,moderate
00428.jpg,clear,night,rural,43,minor
00429.jpg,clear,night,highway,67,severe
00430.jpg,rainy,dusk,urban,45,minor
00431.jpg,clear,dusk,urban,46,severe
00432.jpg,snowy,dawn,rural,105,severe
00433.jpg,clear,dusk,rural,51,severe
00434.jpg,snowy,dawn,rural,68,moderate
00435.jpg,snowy,night,highway,103,severe
00436.jpg,cloudy,night,urban,48,severe
00437.jpg,snowy,day,urban,95,severe
00438.jpg,cloudy,day,urban,100,moderate
00439.jpg,rainy,dusk,urban,84,moderate
00440.jpg,rainy,dawn,urban,70,severe
00441.jpg,rainy,dawn,urban,39,severe
00442.jpg,cloudy,day,highway,115,severe
00443.jpg,clear,dusk,urban,80,minor
00444.jpg,clear,dawn,highway,109,moderate
00445.jpg,cloudy,dawn,rural,88,minor
00446.jpg,rainy,dawn,rural,94,moderate
00447.jpg,cloudy,dusk,rural,79,severe
00448.jpg,cloudy,dusk,highway,81,severe
00449.jpg,clear,dawn,urban,117,severe
00450.jpg,cloudy,night,rural,42,moderate
00451.jpg,clear,night,urban,73,minor
00452.jpg,snowy,day,rural,95,moderate
00453.jpg,cloudy,night,urban,111,minor
00454.jpg,cloudy,dawn,rural,49,moderate
00455.jpg,clear,dawn,rural,107,minor
00456.jpg,cloudy,dawn,highway,68,minor
00457.jpg,snowy,dawn,highway,104,severe
00458.jpg,cloudy,dusk,urban,88,moderate
00459.jpg,snowy,dawn,rural,60,severe
00460.jpg,clear,dawn,highway,55,moderate
00461.jpg,snowy,night,urban,50,minor
00462.jpg,rainy,dawn,highway,93,minor
00463.jpg,rainy,dawn,highway,54,minor
00464.jpg,rainy,night,urban,108,minor
00465.jpg,cloudy,dawn,urban,109,severe
00466.jpg,snowy,dawn,rural,34,moderate
00467.jpg,snowy,night,rural,118,severe
00468.jpg,cloudy,dawn,highway,80,moderate
00469.jpg,clear,dawn,urban,85,moderate
00470.jpg,cloudy,dawn,urban,90,minor
00471.jpg,snowy,night,rural,47,minor
00472.jpg,clear,night,urban,83,severe
00473.jpg,rainy,dusk,highway,77,minor
00474.jpg,snowy,day,rural,53,minor
00475.jpg,rainy,day,highway,114,minor
00476.jpg,snowy,dawn,urban,80,minor
00477.jpg,rainy,day,rural,68,moderate
00478.jpg,snowy,dawn,rural,94,severe
00479.jpg,clear,day,rural,90,minor
00480.jpg,clear,night,highway,94,minor
00481.jpg,rainy,night,highway,104,moderate
00482.jpg,snowy,day,urban,45,minor
00483.jpg,cloudy,night,highway,86,moderate
00484.jpg,rainy,day,rural,104,minor
00485.jpg,snowy,night,urban,50,moderate
00486.jpg,clear,day,urban,23,severe
00487.jpg,rainy,dusk,rural,59,minor
00488.jpg,rainy,day,highway,59,moderate
00489.jpg,cloudy,dusk,urban,68,moderate
00490.jpg,rainy,dawn,urban,110,minor
00491.jpg,snowy,day,highway,31,minor
00492.jpg,cloudy,day,urban,106,moderate
00493.jpg,rainy,dusk,urban,43,moderate
00494.jpg,rainy,dusk,rural,99,moderate
00495.jpg,clear,night,urban,83,moderate
00496.jpg,cloudy,day,highway,78,minor
00497.jpg,cloudy,day,urban,29,moderate
00498.jpg,rainy,night,rural,75,minor
00499.jpg,snowy,night,rural,65,moderate
00500.jpg,cloudy,dusk,urban,82,severe
00501.jpg,snowy,night,highway,60,moderate
00502.jpg,snowy,dusk,rural,63,severe
00503.jpg,snowy,day,highway,60,minor
00504.jpg,clear,day,urban,20,severe
00505.jpg,cloudy,night,highway,98,minor
00506.jpg,rainy,dawn,urban,60,moderate
00507.jpg,snowy,night,highway,33,severe
00508.jpg,cloudy,day,rural,115,minor
00509.jpg,clear,dawn,highway,114,moderate
00510.jpg,clear,dusk,highway,81,minor
00511.jpg,snowy,dusk,rural,76,minor
00512.jpg,cloudy,dusk,highway,23,minor
00513.jpg,snowy,dusk,urban,113,minor
00514.jpg,rainy,dawn,highway,102,severe
00515.jpg,snowy,night,urban,102,severe
00516.jpg,snowy,dawn,rural,113,moderate
00517.jpg,cloudy,dusk,urban,23,moderate
00518.jpg,snowy,dusk,highway,74,severe
00519.jpg,cloudy,day,highway,44,moderate
00520.jpg,rainy,night,rural,44,minor
00521.jpg,cloudy,night,urban,53,severe
00522.jpg,cloudy,dusk,urban,85,severe
00523.jpg,snowy,day,urban,115,moderate
00524.jpg,clear,day,rural,76,severe
00525.jpg,snowy,day,rural,92,moderate
00526.jpg,rainy,dawn,highway,44,minor
00527.jpg,snowy,dusk,rural,111,moderate
00528.jpg,clear,dusk,urban,68,minor
00529.jpg,rainy,dusk,urban,116,severe
00530.jpg,snowy,night,rural,85,moderate
00531.jpg,clear,dusk,rural,83,severe
00532.jpg,snowy,dawn,urban,120,moderate
00533.jpg,clear,day,highway,100,minor
00534.jpg,cloudy,night,rural,55,minor
00535.jpg,rainy,night,highway,79,moderate
00536.jpg,cloudy,dusk,highway,22,severe
00537.jpg,snowy,night,highway,50,severe
00538.jpg,clear,dusk,urban,106,minor
00539.jpg,cloudy,dusk,rural,46,severe
00540.jpg,cloudy,night,highway,38,minor
00541.jpg,clear,day,rural,75,minor
00542.jpg,rainy,day,highway,21,minor
00543.jpg,cloudy,night,highway,88,severe
00544.jpg,clear,day,urban,49,severe
00545.jpg,snowy,night,urban,69,minor
00546.jpg,cloudy,dusk,urban,94,severe
00547.jpg,cloudy,night,rural,48,severe
00548.jpg,cloudy,dawn,urban,23,severe
00549.jpg,clear,dawn,urban,34,severe
00550.jpg,cloudy,dawn,rural,48,severe
00551.jpg,clear,dusk,highway,27,minor
00552.jpg,snowy,night,urban,104,severe
00553.jpg,snowy,dawn,urban,93,severe
00554.jpg,rainy,dawn,rural,77,minor
00555.jpg,rainy,dawn,urban,26,minor
00556.jpg,rainy,day,urban,31,moderate
00557.jpg,cloudy,dawn,rural,70,moderate
00558.jpg,clear,night,highway,93,minor
00559.jpg,rainy,day,highway,36,moderate
00560.jpg,rainy,dusk,highway,119,severe
00561.jpg,cloudy,night,rural,78,minor
00562.jpg,cloudy,dawn,highway,75,severe
00563.jpg,clear,dusk,urban,24,moderate
00564.jpg,clear,dawn,rural,46,minor
00565.jpg,snowy,dawn,urban,81,minor
00566.jpg,clear,dawn,urban,59,moderate
00567.jpg,rainy,night,rural,96,moderate
00568.jpg,clear,night,highway,52,minor
00569.jpg,cloudy,day,highway,31,minor
00570.jpg,cloudy,dusk,rural,74,minor
00571.jpg,clear,dawn,rural,85,minor
00572.jpg,cloudy,day,rural,60,severe
00573.jpg,snowy,day,highway,60,severe
00574.jpg,snowy,dawn,urban,119,minor
00575.jpg,clear,dawn,rural,75,minor
00576.jpg,cloudy,dusk,rural,60,moderate
00577.jpg,rainy,day,rural,78,moderate
00578.jpg,cloudy,dusk,rural,84,moderate
00579.jpg,rainy,day,rural,93,minor
00580.jpg,cloudy,day,highway,44,severe
00581.jpg,snowy,dusk,urban,44,minor
00582.jpg,cloudy,dusk,highway,46,moderate
00583.jpg,clear,day,rural,111,moderate
00584.jpg,clear,day,highway,35,moderate
00585.jpg,rainy,night,highway,53,moderate
00586.jpg,rainy,day,urban,91,moderate
00587.jpg,clear,dawn,rural,22,severe
00588.jpg,clear,day,highway,38,moderate
00589.jpg,cloudy,dusk,highway,86,minor
00590.jpg,clear,night,rural,80,minor
00591.jpg,clear,dawn,highway,98,severe
00592.jpg,clear,dawn,highway,112,severe
00593.jpg,clear,dusk,rural,60,severe
00594.jpg,rainy,day,rural,85,moderate
00595.jpg,clear,dusk,urban,109,severe
00596.jpg,clear,night,urban,69,minor
00597.jpg,rainy,night,highway,111,minor
00598.jpg,rainy,day,highway,86,severe
00599.jpg,snowy,night,highway,111,moderate
00600.jpg,snowy,day,rural,102,minor
00601.jpg,snowy,dawn,rural,40,minor
00602.jpg,snowy,day,rural,20,minor
00603.jpg,rainy,night,highway,65,severe
00604.jpg,rainy,night,rural,120,moderate
00605.jpg,cloudy,day,rural,100,severe
00606.jpg,clear,dawn,rural,109,minor
00607.jpg,rainy,day,highway,86,minor
00608.jpg,cloudy,dusk,highway,77,severe
00609.jpg,snowy,dawn,urban,91,severe
00610.jpg,cloudy,day,urban,59,minor
00611.jpg,snowy,day,urban,113,severe
00612.jpg,rainy,dusk,highway,33,severe
00613.jpg,snowy,day,urban,23,severe
00614.jpg,clear,dusk,urban,44,minor
00615.jpg,snowy,dusk,urban,101,severe
00616.jpg,rainy,day,rural,65,moderate
00617.jpg,cloudy,dusk,rural,93,severe
00618.jpg,cloudy,day,urban,97,moderate
00619.jpg,cloudy,dawn,urban,37,severe
00620.jpg,rainy,night,urban,104,minor
00621.jpg,rainy,day,rural,67,severe
00622.jpg,snowy,dawn,urban,36,minor
00623.jpg,snowy,night,urban,106,moderate
00624.jpg,snowy,day,urban,73,minor
00625.jpg,snowy,dawn,urban,105,minor
