image,weather,time_of_day,road_type,speed,severity
00403.jpg,cloudy,dusk,rural,65,moderate
00404.jpg,cloudy,dawn,urban,96,minor
00405.jpg,clear,day,urban,67,severe
00406.jpg,cloudy,day,rural,43,minor
00407.jpg,rainy,night,urban,45,minor
00408.jpg,cloudy,night,rural,94,moderate
00409.jpg,clear,day,urban,31,severe
00410.jpg,rainy,dawn,rural,29,minor
00411.jpg,snowy,dusk,rural,68,moderate
00412.jpg,clear,dawn,rural,74,moderate
00413.jpg,snowy,dusk,rural,31,minor
00414.jpg,cloudy,dusk,rural,63,minor
00415.jpg,clear,night,rural,90,minor
00416.jpg,snowy,dawn,highway,62,moderate
00417.jpg,cloudy,night,highway,78,minor
00418.jpg,rainy,dawn,highway,62,minor
00419.jpg,rainy,dusk,highway,44,moderate
00420.jpg,rainy,day,highway,77,minor
00421.jpg,snowy,night,urban,54,minor
00422.jpg,rainy,day,highway,29,severe
00423.jpg,clear,night,urban,39,moderate
00424.jpg,clear,night,rural,68,severe
00425.jpg,cloudy,night,rural,118,severe
00426.jpg,cloudy,dawn,highway,79,minor
00427.jpg,cloudy,dawn,urban,27,moderate
00428.jpg,clear,dawn,highway,111,moderate
00429.jpg,cloudy,night,urban,75,moderate
00430.jpg,clear,dusk,rural,81,severe
00431.jpg,rainy,dawn,urban,50,severe
00432.jpg,cloudy,dawn,rural,42,severe
00433.jpg,rainy,dawn,rural,48,severe
00434.jpg,cloudy,night,highway,74,minor
00435.jpg,cloudy,day,rural,40,moderate
00436.jpg,cloudy,dawn,urban,43,minor
00437.jpg,clear,dusk,urban,33,moderate
00438.jpg,cloudy,day,urban,115,severe
00439.jpg,clear,day,highway,79,severe
00440.jpg,rainy,day,highway,80,moderate
00441.jpg,clear,day,rural,108,minor
00442.jpg,clear,day,urban,90,moderate
00443.jpg,cloudy,dawn,rural,43,moderate
00444.jpg,cloudy,dusk,urban,111,minor
00445.jpg,cloudy,night,rural,54,minor
00446.jpg,snowy,night,rural,62,severe
00447.jpg,cloudy,day,urban,110,moderate
00448.jpg,snowy,dusk,rural,103,moderate
00449.jpg,cloudy,day,highway,67,severe
00450.jpg,clear,dusk,highway,107,severe
00451.jpg,clear,day,urban,38,moderate
00452.jpg,rainy,night,highway,44,minor
00453.jpg,snowy,dusk,rural,44,minor
00454.jpg,cloudy,day,urban,50,severe
00455.jpg,snowy,day,highway,32,minor
00456.jpg,snowy,night,rural,63,moderate
00457.jpg,clear,dawn,rural,66,moderate
00458.jpg,cloudy,day,rural,77,moderate
00459.jpg,rainy,dusk,highway,61,severe
00460.jpg,rainy,dusk,highway,50,moderate
00461.jpg,snowy,day,rural,28,minor
00462.jpg,snowy,night,highway,70,minor
00463.jpg,snowy,dawn,highway,21,moderate
00464.jpg,cloudy,day,urban,91,minor
00465.jpg,rainy,dawn,highway,70,severe
00466.jpg,rainy,day,rural,68,minor
00467.jpg,cloudy,day,rural,94,severe
00468.jpg,snowy,dawn,rural,41,minor
00469.jpg,clear,day,highway,81,moderate
00470.jpg,cloudy,dusk,rural,60,moderate
00471.jpg,clear,day,rural,57,severe
00472.jpg,clear,night,highway,74,minor
00473.jpg,rainy,dusk,highway,101,moderate
00474.jpg,rainy,night,highway,111,severe
00475.jpg,cloudy,dawn,highway,36,moderate
00476.jpg,cloudy,dawn,urban,101,minor
00477.jpg,cloudy,dawn,highway,79,severe
00478.jpg,snowy,day,rural,99,minor
00479.jpg,snowy,night,highway,77,minor
00480.jpg,cloudy,dusk,rural,71,minor
00481.jpg,cloudy,night,highway,65,minor
00482.jpg,clear,dusk,highway,27,minor
00483.jpg,clear,dawn,urban,70,minor
00484.jpg,clear,day,urban,39,moderate
00485.jpg,snowy,dawn,urban,27,severe
00486.jpg,snowy,day,highway,20,moderate
00487.jpg,clear,night,rural,22,minor
00488.jpg,snowy,night,highway,70,moderate
00489.jpg,snowy,night,rural,107,minor
00490.jpg,clear,day,urban,60,minor
00491.jpg,rainy,dusk,rural,79,moderate
00492.jpg,cloudy,day,highway,69,severe
00493.jpg,clear,day,rural,78,moderate
00494.jpg,cloudy,dusk,rural,40,severe
00495.jpg,rainy,dawn,urban,111,minor
00496.jpg,clear,night,urban,44,minor
00497.jpg,rainy,day,highway,55,minor
00498.jpg,cloudy,dusk,urban,100,moderate
00499.jpg,rainy,night,highway,34,moderate
00500.jpg,rainy,dusk,urban,22,minor
00501.jpg,snowy,night,highway,82,severe
00502.jpg,cloudy,night,highway,55,minor
00503.jpg,rainy,dawn,highway,24,minor
00504.jpg,rainy,dusk,urban,79,minor
00505.jpg,snowy,dusk,rural,89,severe
00506.jpg,rainy,dusk,urban,24,moderate
00507.jpg,snowy,dusk,urban,85,moderate
00508.jpg,cloudy,night,rural,57,minor
00509.jpg,clear,day,urban,65,severe
00510.jpg,snowy,night,highway,36,severe
00511.jpg,clear,dusk,highway,95,minor
00512.jpg,clear,dusk,urban,69,minor
00513.jpg,clear,dawn,rural,90,severe
00514.jpg,clear,dawn,highway,89,moderate
00515.jpg,rainy,dusk,urban,21,minor
00516.jpg,snowy,day,highway,46,minor
00517.jpg,rainy,dawn,urban,50,moderate
00518.jpg,snowy,dawn,highway,52,severe
00519.jpg,clear,dusk,rural,24,severe
00520.jpg,clear,day,highway,52,minor
00521.jpg,cloudy,night,urban,22,minor
00522.jpg,snowy,dusk,rural,92,severe
00523.jpg,snowy,dusk,urban,30,severe
00524.jpg,clear,night,highway,28,moderate
00525.jpg,snowy,day,highway,24,minor
00526.jpg,rainy,dusk,rural,40,minor
00527.jpg,cloudy,dusk,urban,74,severe
00528.jpg,snowy,dusk,urban,66,minor
00529.jpg,cloudy,night,rural,52,minor
00530.jpg,clear,day,urban,33,severe
00531.jpg,snowy,dawn,rural,34,moderate
00532.jpg,rainy,night,urban,36,moderate
00533.jpg,cloudy,day,rural,79,severe
00534.jpg,snowy,dusk,rural,20,minor
00535.jpg,rainy,dusk,urban,66,severe
00536.jpg,snowy,dusk,highway,43,severe
00537.jpg,clear,night,highway,33,moderate
00538.jpg,cloudy,day,urban,54,moderate
00539.jpg,snowy,day,highway,34,severe
00540.jpg,clear,night,urban,116,minor
00541.jpg,snowy,dusk,highway,34,severe
00542.jpg,rainy,dawn,rural,39,severe
00543.jpg,snowy,dusk,urban,92,moderate
00544.jpg,cloudy,day,highway,98,minor
00545.jpg,snowy,dawn,urban,32,severe
00546.jpg,clear,night,urban,28,minor
00547.jpg,snowy,dusk,highway,85,severe
00548.jpg,clear,dusk,urban,107,severe
00549.jpg,snowy,dusk,rural,106,minor
00550.jpg,clear,dusk,highway,105,severe
00551.jpg,rainy,dawn,highway,71,minor
00552.jpg,cloudy,dusk,urban,28,moderate
00553.jpg,clear,dawn,urban,96,minor
00554.jpg,snowy,day,rural,93,moderate
00555.jpg,cloudy,dawn,rural,87,moderate
00556.jpg,cloudy,dusk,rural,111,moderate
00557.jpg,clear,dusk,highway,63,severe
00558.jpg,snowy,day,urban,56,moderate
00559.jpg,rainy,dusk,highway,117,minor
00560.jpg,clear,dawn,urban,94,minor
00561.jpg,cloudy,dawn,rural,109,minor
00562.jpg,rainy,night,highway,104,severe
00563.jpg,clear,dawn,urban,110,minor
00564.jpg,cloudy,night,rural,39,severe
00565.jpg,rainy,day,rural,34,minor
00566.jpg,cloudy,dawn,rural,105,moderate
00567.jpg,clear,night,highway,73,minor
00568.jpg,snowy,dawn,rural,73,severe
00569.jpg,rainy,dawn,rural,111,severe
00570.jpg,clear,night,rural,93,moderate
00571.jpg,clear,dawn,rural,41,minor
00572.jpg,rainy,dawn,urban,109,severe
00573.jpg,rainy,dusk,urban,93,moderate
00574.jpg,snowy,day,rural,109,moderate
00575.jpg,snowy,day,rural,54,minor
00576.jpg,rainy,dusk,rural,115,moderate
00577.jpg,clear,dusk,rural,112,moderate
00578.jpg,rainy,night,highway,80,moderate
00579.jpg,snowy,day,rural,35,moderate
00580.jpg,snowy,dusk,rural,87,minor
00581.jpg,cloudy,day,urban,77,severe
00582.jpg,cloudy,day,urban,61,severe
00583.jpg,clear,dawn,urban,49,minor
00584.jpg,cloudy,dawn,rural,74,minor
00585.jpg,cloudy,dusk,urban,79,moderate
00586.jpg,rainy,dusk,highway,54,severe
00587.jpg,rainy,dawn,urban,64,minor
00588.jpg,clear,dusk,highway,48,minor
00589.jpg,rainy,dawn,rural,72,severe
00590.jpg,rainy,night,highway,23,minor
00591.jpg,clear,day,highway,43,minor
00592.jpg,rainy,night,urban,61,severe
00593.jpg,clear,night,urban,64,severe
00594.jpg,snowy,dusk,rural,92,severe
00595.jpg,snowy,dusk,urban,63,minor
00596.jpg,snowy,dusk,rural,115,minor
00597.jpg,rainy,night,highway,77,moderate
00598.jpg,cloudy,night,urban,37,minor
00599.jpg,cloudy,dawn,rural,74,moderate
00600.jpg,snowy,day,urban,101,minor
00601.jpg,cloudy,dusk,urban,33,minor
00602.jpg,clear,day,highway,92,severe
00603.jpg,snowy,day,highway,43,moderate
00604.jpg,snowy,dawn,rural,70,minor
00605.jpg,rainy,night,urban,90,minor
00606.jpg,snowy,night,highway,88,minor
00607.jpg,clear,night,rural,36,moderate
00608.jpg,clear,dawn,rural,22,minor
00609.jpg,clear,day,urban,97,severe
00610.jpg,rainy,dawn,urban,112,severe
00611.jpg,snowy,day,urban,48,moderate
00612.jpg,rainy,night,urban,91,minor
00613.jpg,rainy,dawn,highway,69,moderate
00614.jpg,snowy,night,rural,103,severe
00615.jpg,clear,night,urban,21,minor
00616.jpg,cloudy,dusk,rural,110,severe
00617.jpg,snowy,dawn,urban,41,moderate
00618.jpg,cloudy,dusk,rural,94,minor
00619.jpg,rainy,night,urban,47,moderate
00620.jpg,rainy,dawn,highway,53,severe
00621.jpg,cloudy,dawn,urban,108,severe
00622.jpg,cloudy,dusk,urban,74,severe
00623.jpg,snowy,dusk,rural,100,minor
00624.jpg,clear,dusk,urban,21,moderate
00625.jpg,cloudy,day,highway,109,minor
